pais,media_PIB_total_(dolar_corrente),media_população_total,media_PIB_per_capita,media_taxa_crescimento_PIB,media_taxa_inflação_(CPI),media_expectativa_vida,media_taxa_alfabetização,media_exportacao_abs,media_importacao_abs,media_IDH_estimado,soma_qtde_kg,soma_valor_dolar_ajustado,vl_distinto_produto_texto,vl_distinto_ano
Libano,23379901665.837242,5177921.714285715,4203.052020941043,-4.259779006734781,89.56403660969757,73.93321428571429,93.57142857142857,538992695490.7082,1164381535079.819,0.5919065826807347,57106,109200.75014274174,4,9
Liberia,3379227330.769231,4942606.730769231,663.5711991308109,1.7412264232696069,14.305930362389585,59.990269230769236,51.89356407752406,0.0,0.0,0.4121613321059699,141307,429186.8819168155,4,8
Libia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,931913,1411657.052093025,2,10
Lituania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1469230,4019047.3557321276,1,15
Luxemburgo,63100373308.14389,558015.8292682926,111978.86641779721,2.3254077393177335,2.3633811523212582,81.4917311124331,95.0,11778932420904.523,9793196145195.633,0.0,95225,681916.9386263795,4,20
Macau,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,6.176966347447671,1,1
Macedonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,43.23876443213369,1,1
Malasia,184550112094.82495,25381627.657894738,6370.057592517766,4.931559727892116,2.2641212899868357,73.4852105263158,84.6842105263158,14697508700721.61,12868785110476.73,0.7228507495553697,674014,2468756.6506402427,3,33
Malavi,12712150082.0792,21104482.0,602.343619809252,1.89245798756383,28.7897428247298,67.353,68.0800018310547,0.0,0.0,0.5079042346390777,3660,6436.398934040472,1,1
Maldivas,6006823261.818817,522084.6666666667,11497.504424349865,18.686783844248264,1.9345861630776777,79.95100000000001,97.8600006103516,466873062854.7969,446488249444.93,0.8482264952331563,10821,46517.886495528524,1,3
