produto_texto,qtde_kg,PIB_total_(dolar_corrente),população_total,PIB_per_capita,taxa_crescimento_PIB,taxa_inflação_(CPI),expectativa_vida,taxa_alfabetização,exportacao_abs,importacao_abs,IDH_estimado,pais_cat,valor_dolar_ajustado,qtde_lag1,valor_ajustado_lag1,PIB_lag1,exportacao_abs_lag1,importacao_Abs_lag1,taxa_inflação_(CPI)_lag1
Vinhos de mesa,1673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cat_A,19761.87562394128,9900.0,28454.25191637631,0.0,0.0,0.0,0.0
Uvas frescas,908683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cat_A,1431633.7013396332,966420.0,1759766.949943535,0.0,0.0,0.0,0.0
Vinhos de mesa,1080,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cat_A,8066.288571428572,1673.0,19761.87562394128,0.0,0.0,0.0,0.0
Uvas frescas,1121634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cat_A,2040090.050152174,908683.0,1431633.7013396332,0.0,0.0,0.0,0.0
Espumantes,730,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cat_A,5056.553758602435,2816.0,10418.513258046303,0.0,0.0,0.0,0.0
Uvas frescas,838673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cat_A,1650983.899184754,1121634.0,2040090.050152174,0.0,0.0,0.0,0.0
Vinhos de mesa,13589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cat_A,46729.531286394915,1080.0,8066.288571428572,0.0,0.0,0.0,0.0
Espumantes,549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cat_A,4288.528571428571,730.0,5056.553758602435,0.0,0.0,0.0,0.0
Uvas frescas,889813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cat_A,1737201.0085714285,838673.0,1650983.899184754,0.0,0.0,0.0,0.0
Vinhos de mesa,57393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cat_A,171383.7361904762,13589.0,46729.531286394915,0.0,0.0,0.0,0.0
Espumantes,153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cat_A,1443.9652380952382,549.0,4288.528571428571,0.0,0.0,0.0,0.0
Uvas frescas,818198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cat_A,1905481.735342262,889813.0,1737201.0085714285,0.0,0.0,0.0,0.0
Vinhos de mesa,38302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cat_A,138843.17043154762,57393.0,171383.7361904762,0.0,0.0,0.0,0.0
Espumantes,3547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cat_A,15419.540122117081,153.0,1443.9652380952382,0.0,0.0,0.0,0.0
Uvas frescas,2256707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cat_A,7854187.549425587,818198.0,1905481.735342262,0.0,0.0,0.0,0.0
Vinhos de mesa,119512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cat_A,360150.349798883,38302.0,138843.17043154762,0.0,0.0,0.0,0.0
Espumantes,5423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cat_A,30491.369799770557,3547.0,15419.540122117081,0.0,0.0,0.0,0.0
Uvas frescas,1297991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cat_A,3923710.997612667,2256707.0,7854187.549425587,0.0,0.0,0.0,0.0
Vinhos de mesa,265742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cat_A,626451.3700691584,119512.0,360150.349798883,0.0,0.0,0.0,0.0
Espumantes,6648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cat_A,42429.172599598205,5423.0,30491.369799770557,0.0,0.0,0.0,0.0
Uvas frescas,759594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cat_A,2157803.7241734527,1297991.0,3923710.997612667,0.0,0.0,0.0,0.0
Vinhos de mesa,225086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cat_A,575336.5391424323,265742.0,626451.3700691584,0.0,0.0,0.0,0.0
Espumantes,1958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cat_A,9893.051569321642,6648.0,42429.172599598205,0.0,0.0,0.0,0.0
Uvas frescas,713942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cat_A,2067843.423620538,759594.0,2157803.7241734527,0.0,0.0,0.0,0.0
Vinhos de mesa,27715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cat_A,199480.86213633197,225086.0,575336.5391424323,0.0,0.0,0.0,0.0
Espumantes,1976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cat_A,16759.718866003674,1958.0,9893.051569321642,0.0,0.0,0.0,0.0
Uvas frescas,1167243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cat_A,3389241.050707081,713942.0,2067843.423620538,0.0,0.0,0.0,0.0
Vinhos de mesa,36070,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cat_A,201024.5859988708,27715.0,199480.86213633197,0.0,0.0,0.0,0.0
Espumantes,833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cat_A,6929.756910023782,1976.0,16759.718866003674,0.0,0.0,0.0,0.0
Suco de uva,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cat_A,1.3662769933012189,507210.0,1460361.338402033,0.0,0.0,0.0,0.0
Uvas frescas,1021075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cat_A,2821150.2182330554,1167243.0,3389241.050707081,0.0,0.0,0.0,0.0
Vinhos de mesa,8189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cat_A,76978.77835657727,36070.0,201024.5859988708,0.0,0.0,0.0,0.0
